Robot Name+A1:AB1;Company;Country;Region;Year Unveiled;Primary Use-Case;Status;Cost(USD);Market Valuation;Details market valuation;Number of Employees;Production Capacity (units/year);Production capacity details;Height(cm);Weight (kg);Mobility Type;Speed (m/s);Autonomy (hour);Total Degrees of Freedom (DOF);Body Degrees of Freedom (DOF);Hands Degrees of Freedom (DOF);Two Hand Payload (kg);Vision Sensors type;Speaker;Microphone;Safety Features;Actuator Type;Reducer;Motor;Force Sensor;Encoder per Actuator;Computing Power;AI Technology;AI Partners;Customers/Testers;Converse naturally ?;Url;;
SE01;ENGINEAI;China;China;2024;General Purpose;Prototype;20000;N/D;N/D;49;1 000;( OBJECTIF 2025);170;55;Bipedal;2;2;32;20;12;15;Intel RealSense D435, 360° laser radar;2;1;Emergency Stop Button;Rotary;Harmonic Drive ;;Yes;2;2CPUs;RL;Nvidia;;;https://humanoid.guide/product/se01/;;
PM01-commercial edition;ENGINEAI;China;China;2024;General Purpose;Prototype;20000;N/D;N/D;49;1 000;( OBJECTIF 2025);138;40;Bipedal;2;2;23;;;15;"Intel RealSense
D435i, Laser Radar, Ultrasonic
Radar, ";2;1;Emergency Stop Button;Rotary;All Planetary;Q90H;Yes;2;2CPUs;RL;Nvidia;;Mimics human voice direction;https://humanoid.guide/product/pm01/;;
PM01-education edition;ENGINEAI;China;China;2024;General Purpose;Prototype;20000;N/D;N/D;49;1 000;( OBJECTIF 2025);138;40;Bipedal;2;2;24;;;15;"Intel RealSense
D435i, Laser Radar, Ultrasonic
Radar, ";2;1;Emergency Stop Button;Rotary;All Planetary;Q25H;Yes;2;2CPUs;RL;Nvidia;;Mimics human voice direction;https://humanoid.guide/product/pm01/;;
Digit;Agility Robotics;USA;USA;2022;Industrial/Logistics;In Production;45000;1750000000;(Agility Robotics, tour de table avril 2025);≈ 250 ;10 000;(capacité cible de l’usine RoboFab, Salem, OR);175;65;Bipedal;1.5;4;22;;6;16;Lidar, four Intel RealSense depth cameras, MEMS IMU;;;;Bruchless DC motors, with custom-designed transmissions;;;;;2 intel i7 multi-thread CPUs;RL;Nvidia;Amazon, GXO, Ford;no;https://humanoid.guide/product/digit/;;
Figure 02;Figure;USA;USA;2024;General Purpose;Prototype;130000;39500000000;(levée 2025);180;12 000;;168;70;Bipedal;1.2;5;28;40;16;20;RGB;;;;Electric;;;;;;VLA;Nvidia;BMW;Yes;https://www.figure.ai/;;
Atlas;Boston Dynamics;USA;USA;2024;General Purpose;Prototype;39000;1100000000;(rachat Hyundai 2021);≈ 1 000 ;N/D;;150;89;Bipedal;2.5;1.5;20;;;22;Lidar, stereo camera;;;;All-electric actuators;;;;;Custom control and computing system;;Custom software;Hyundai;;https://humanoid.guide/product/atlas/;;
Optimus Gen 2;Tesla;USA;USA;2023;General Purpose;Prototype;30000;9.02E+11;(Tesla, cap. boursière 05/2025);N/D;10 000;(OBJECTIF 2025);173;57;Bipedal;2.2;8;40;28;12;20;;;;;Custom actuators;;;;;Custom compute and control systems;;;Tesla;;https://robotsguide.com/robots/optimus;;
Apollo;Apptronik;USA;USA;2023;General Purpose;Prototype;50000;1400000000;(pré-money 03/2025);> 150;200000;;175;73;Bipedal, Modular;1.5;4;71;;;25;;Intuitive Interaction;Intuitive Interaction;"Advanced Force
Control Architecture";Advanced electric linear actuators;;;Yes;;275 TOPS;;NVIDIA;Mercedes Benz, GXO;no;https://apptronik.com/apollo humanoide.guide;;
Phoenix;Sanctuary AI;Canada;USA;2023;General Purpose;Prototype;40000;222000000;(est. 11/2023);146;N/D;;170;70;Bipedal;1.3;4;75;55;20;25;Depth camera;;;;;;;Yes;;;DL, RL;Carbon;Canadian manufacturer Magna;Yes;https://humanoid.guide/product/phoenix/;;
H1-2;Unitree;China;China;2024;General Purpose;Prototype;135600;835000000;;201-500;1 000;(OBJECTIF 2025);178;70;Bipedal;3.3;2;38;26;12;21;3D LiDAR , depth camera intel D435i;;;;;;;;2;"Standard configuration: Intel Core i5(Platform Function) ,Intel Core i7(User Development)

Optional Configuration: Intel Core i7 or Nvidia Jetson Orin NX (up to three)";;;;;https://www.unitree.com/h1;;
H1;Unitree;China;China;2024;General Purpose;Prototype;105000;;;201-500;;;180;47;Bipedal;1.5;2;38;26;12;21;3D LiDAR , depth camera intel D435i;;;;;;;;2;"Standard configuration: Intel Core i5(Platform Function) ,Intel Core i7(User Development)

Optional Configuration: Intel Core i7 or Nvidia Jetson Orin NX (up to three)";;;;;https://www.unitree.com/h1;;
Walker S1;UBTECH;China;China;2024;Industrial/Logistics;In Production;75000;38500000000;;2013;500-1000;;172;76;Bipedal;0.8;2.5;36;;;15;RGBD;2;;Emergency Stop Button;;;;Yes;;;;;BYD;;https://humanoid.guide/product/walker-s1/;;
Iron;XPENG;China;China;2024;Industrial/Logistics;Prototype;150000;12 650 000 000;;15839;;;173;70;Bipedal;;;200;;30;;Eagle Eye;;;;;;;;;3000 TOPS;;Nvidia;XPENG;Yes;https://humanoid.guide/product/iron/;;
STAR1;RobotEra;China;China;2024;General Purpose;Prototype;120000;42 000 000;levée de fonds;50;50 000;;171;63;Bipedal;3.6;;55;;24;20;;;;;;Precision planetary;;;;275 TOPS;;;Alibaba;;https://humanoid.guide/product/star1/;;
GR-2;Fourier;China;China;2024;General Purpose;In Production;125000;N/D;;≈ 500;N/D;;175;63;Bipedal;1.4;2;53;;24;6;Stereo camera;;;;FSA 2.0;;;;2;Intel Core i7 (8-Core);;NVIDIA Isaac Lab, ROS, and Mujoco.;;;https://www.fftai.com/products-gr2;;
4NE-1;Neura Robotics;Germany;EMEA;2024;Service;Prototype;200000;N/D;;> 300;N/D;;180;80;Bipedal;0.8;5;25;;;15;;;;;;;;;;;;;;;https://humanoid.guide/product/4ne-1/;;
NEO Gamma ;1X;Norway;;2024;General Purpose;Prototype;75000;N/D;;201-500;10 000;;162;30;Bipedal;1.2;2;25;;;20;;;4;;;;;;;;RL;;;Yes;https://www.1x.tech/neo;;
NEO Beta ;1X;Norway;;2023;Deprecated;Prototype;75000;N/D;;201-500;10 000;Objectif 2025;165;30;Bipedal;1.2;2;55;;;20;;;4;;;;;;;;;;;;https://humanoid.guide/product/neo-beta/;;
EVE;1X;Norway;;2020;Industrial;Prototype;20000;N/D;;201-500;120 -240 ;;183;83;Wheeled;4;4;25;23;2;;;;;;1X Technologies Revo1 quasi direct-drive technology;;;;;Intel i7 for real-time control and Nvidia Xavier for AI inference;;;;;https://robotsguide.com/robots/eve;;
Talos;PAL;Spain;;2017;General Purpose;Prototype;900000;N/D;;5372;N/D;;175;95;Bipedal;0.8;3;32;;;12;RGB-D camera;2;;;32 high-torque brushless DC motors;;;;;Two Intel Core i7 CPUs;;;;;https://robotsguide.com/robots/talos  ;https://pal-robotics.com/robot/talos/ ;
HMND 01 ;HUMANOID;UK;;2024;General Purpose;Prototype;100000;3280000000;;50;N/D;;175;70;Bipedal, Modular;1.5;4;41;;;15;RGB-D, Lidar;;;;;;;;;;;;;;https://humanoid.guide/product/hmnd-01/;;
Menteebot;Mentee Robotics;Israel;;2024;General Purpose;Prototype;35000;N/D;;70;N/D;;175;70;Bipedal;1.5;;40;;;25;;1;1;;;;;;;;RL;;;Yes;https://www.menteebot.com/bot/;;
Menteebot V3;Mentee Robotics;Israel;;2025;Industrial/Logistics;Prototype;35000;N/D;;70;N/D;;175;65;Bipedal;1.5;3;55;;;25;Fisheye cameras;1;1;;;;;;;2 x Jetson Orin AGX;RL;;;Yes;https://menteebot.com/blog/ ;;
A2-MAX;Agibot;China;China;2024;Service;Prototype;100000;982000000;;100;3000-5000;;178;85;Bipedal;1;2;67;29;38;40;Lidar, RGBD Cameras, Fisheye ;;;;;;;;;;;;;;https://www.agibot.com/products/A2_Max;;
A2;Agibot;China;China;2024;Service;In Production;100000;982000000;;100;3000-5000;;169;69;Bipedal;1;2;40;;;20;Lidar, RGBD Cameras, Fisheye ;1;1;;;;;;;200 TOPS AI;;;;Yes;http://www.agibot.com/products/A2;;
A2-W;Agibot;China;China;2024;Industrial/Logistics;In Production;;982000000;;100;3000-5000;;163;230;Wheeled;5;5;22;;;10;Lidar, RGBD Cameras, Fisheye;;;;;;;;;275 TOPS;RL;;;;https://www.agibot.com/products/A2_W;;
PUDU D9;Pudu Robotics;China ;China;2024;Service;Prototype;100000;N/D;;>2 000;N/D;;170;65;Bipedal;2;;42;;;20;RGBD Cameras, Fisheye ;1;1;;;;;;;275 TOPS;;;;;https://www.pudurobotics.com/fr/products/d9;;
Borg 01;Borg Robotics;USA;USA;2024;General Purpose;Prototype;100000;N/D;;10;N/D;;173;75;Bipedal, Modular;2;5;23;;;12;;;;;;;;;;;RL;;;Yes;https://humanoid.guide/product/borg01/;https://www.youtube.com/watch?v=kS_m7faX3wo;"borg™ sur X : ""Borg 01 Designed for industrial applications, Borg 01 features a modular system that allows it to switch autonomously between a bipedal and wheeled base. It can also autonomously swap out end effectors to adapt to different tasks. Paired with our other autonomous robots such as https://t.co/fLwQEquQPH"" / X"
Forerunner K2;Kepler Robotics;China;China;2023;Industrial/Logistics;Prototype;200000;N/D;;50;N/D;;178;85;Bipedal;1.11;;52;;;15;;;;;;;;;;;;;;;https://www.borgrobotic.com/;;
Addverb ;Addverb Humanoid;India;;2024;General Purpose;Prototype;;N/D;;800;100;;;;;;;;;;;;;;;;;;;;;;;;;Kepler K2 - Humanoid.guide;;
G1;Galbot;China ;China;2024;General Purpose;In Production;55000;N/D;;80;400-500;;173;85;Wheeled;2;10;25;;;5;;;;;;;;;;8-core CPU and AI processors;;;;Yes;https://www.aparobot.com/robots/galbot-g1;;
G1;Unitree;China;China;2024;General Purpose;Prototype;16000;;;201-500;;;130;35;Bipedal;2;2;23;23;;4;3D Lidar, Depth camera, intel RealSense D435i;1;1;;;;;;2;8-core high-performance CPU;RL;;;Yes;https://www.unitree.com/g1/;;
G1-EDU;Unitree;China;China;2024;General Purpose;Prototype;39000;;;201-500;;;130;35;Bipedal;2;2;43;;14;6;3D Lidar, Depth camera, intel RealSense D435i;1;1;;;;;;2;8-core high-performance CPU;RL;;;Yes;https://www.unitree.com/g1/;;
LimX CL-1;LimX Dynamics;China;China;2023;General Purpose;Prototype;40000;;;;;;157;50;Bipedal;1.11;;20;;;18;;;;;;;;;;;RL;;;;https://humanoid.guide/product/limx/;;
Navigator 2 NAVAI;Supcon;China;China;2024;General Purpose;Prototype;100000;;;;;;165;60;Bipedal;1.67;2;20;;;10;;;;;;;;;;275 TOPS;;;;;https://humanoid.guide/product/navigator-2/;;
DR01;DeepRobotics;China;China;2024;General Purpose;Prototype;200000;;;;;;170;80;Bipedal;1.6;;12;;;16;;;;;;;;;;;;;;;https://humanoid.guide/product/dr01/;;
Torobo;Tokyo Robotics;Japan;Japan;2024;General Purpose;Prototype;100000;;;;;;166;160;Bipedal;1.39;;24;24;;20;Fisheye, depth cameras;;;;;;;;;;;;;;https://humanoid.guide/product/torobo/;;
;;;
